-10,00
-9,80
-9,60
-9,39
-9,19
-8,99
-8,79
-8,59
-8,38
-8,18
-7,98
-7,78
-7,58
-7,37
-7,17
-6,97
-6,77
-6,57
-6,36
-6,16
-5,96
-5,76
-5,56
-5,35
-5,15
-4,95
-4,75
-4,55
-4,34
-4,14
-3,94
-3,74
-3,54
-3,33
-3,13
-2,93
-2,73
-2,53
-2,32
-2,12
-1,92
-1,72
-1,52
-1,31
-1,11
-0,91
-0,71
-0,51
-0,30
-0,10
0,10
0,30
0,51
0,71
0,91
1,11
1,31
1,52
1,72
1,92
2,12
2,32
2,53
2,73
2,93
3,13
3,33
3,54
3,74
3,94
4,14
4,34
4,55
4,75
4,95
5,15
5,35
5,56
5,76
5,96
6,16
6,36
6,57
6,77
6,97
7,17
7,37
7,58
7,78
7,98
8,18
8,38
8,59
8,79
8,99
9,19
9,39
9,60
9,80
10,00
