-10,00
-7,78
-5,56
-3,33
-1,11
1,11
3,33
5,56
7,78
10,00
-10,00
-7,78
-5,56
-3,33
-1,11
1,11
3,33
5,56
7,78
10,00
-10,00
-7,78
-5,56
-3,33
-1,11
1,11
3,33
5,56
7,78
10,00
-10,00
-7,78
-5,56
-3,33
-1,11
1,11
3,33
5,56
7,78
10,00
-10,00
-7,78
-5,56
-3,33
-1,11
1,11
3,33
5,56
7,78
10,00
-10,00
-7,78
-5,56
-3,33
-1,11
1,11
3,33
5,56
7,78
10,00
-10,00
-7,78
-5,56
-3,33
-1,11
1,11
3,33
5,56
7,78
10,00
-10,00
-7,78
-5,56
-3,33
-1,11
1,11
3,33
5,56
7,78
10,00
-10,00
-7,78
-5,56
-3,33
-1,11
1,11
3,33
5,56
7,78
10,00
-10,00
-7,78
-5,56
-3,33
-1,11
1,11
3,33
5,56
7,78
10,00
