471,00
388,78
306,56
224,33
142,11
59,89
-22,33
-104,56
-186,78
-269,00
364,83
297,42
230,01
162,60
95,20
27,79
-39,62
-107,02
-174,43
-241,84
268,53
215,94
163,35
110,75
58,16
5,57
-47,02
-99,62
-152,21
-204,80
182,11
144,33
106,56
68,78
31,00
-6,78
-44,56
-82,33
-120,11
-157,89
105,57
82,60
59,64
36,68
13,72
-9,25
-32,21
-55,17
-78,14
-101,10
38,90
30,75
22,60
14,46
6,31
-1,84
-9,99
-18,14
-26,28
-34,43
-17,89
-11,22
-4,56
2,11
8,78
15,44
22,11
28,78
35,44
42,11
-64,80
-43,32
-21,84
-0,36
21,12
42,60
64,09
85,57
107,05
128,53
-101,84
-65,54
-29,25
7,05
43,35
79,64
115,94
152,23
188,53
224,83
-129,00
-77,89
-26,78
24,33
75,44
126,56
177,67
228,78
279,89
331,00
